Feature group combination,n_features,R2 mean,R2 SD,MAE mean (mmol*min),MAE SD
Dc only,47,0.0015497940138887,0.0145078848238268,56.00007400115275,2.273767831646265
G only,14,0.1336925058385275,0.0343069867566004,50.97204498968482,2.488566931319605
Dt only,12,-0.0097086556711152,0.0060853719369498,56.2982395826752,2.398671153548438
Dc + G,61,0.123485577452219,0.0361135061401204,51.51807128321552,2.446406881662595
Dc + Dt,59,-0.0067506637698338,0.011392777754557,56.168485114855095,2.2883859451811004
G + Dt,26,0.1388226436436475,0.0412638868104832,50.850623462767054,2.6489342024057625
Dc + G + Dt,73,0.1196436127593535,0.0351876333096851,51.68883670429483,2.3188745144595866
All,78,0.1396530485973846,0.0291358117167066,51.08994757520153,2.6230567702767327
