model,n_features,R2_mean,MAE_mean
Full (all Dc + G + Dt + P + I),88,0.08442503134064586,52.96846206326277
Pruned Dc + G + Dt + P + I,85,0.07884743596774943,53.12060113673224
Pruned Dc only,44,-0.15673740995346966,60.79364073280715
