CHO,STAR,TOTSUG,FREE_SUGAR,ADDED_SUGAR,GLUC,FRUCT,SUCR,MALT,LACT,GALACT,OLIGO,PROT,FAT,KCALS,ALCO,WATER,AOACFIB,ENGFIB,SATFAC,MONOFACc,POLYFACc,TOTn3PFAC,TOTn6PFAC,FACTRANS,MG,ZN,MN,FE,SE,VITD,CAFF,totalVeg,totalFruit,starch_fraction,sugar_fraction,free_sugar_fraction,rapid_glucose_equiv,intrinsic_sugar,protein_cho_ratio,fat_sugar_ratio,protein_sugar_ratio,glycaemic_brake,n6_n3_ratio,baseline_glucose_mmol,past_4h_glucose_trend,past_1h_glucose_mean,past_1h_glucose_sd,mean_glucose_24h,sd_glucose_24h,mage_24h,conga1_24h,conga2_24h,modd_24h,glucose_at_t_minus_15,glucose_at_t_minus_30,past_3h_cho,past_3h_sugar,past_3h_fat,past_3h_prot,time_since_last_meal_min,hour_of_day,sex,n_total_meals,n_days_tracked,mean_daily_kcal,mean_daily_cho,cho_x_baseline_glucose,cho_x_mage,cho_x_time_since_last_meal,cho_x_fibre,cho_x_fat,cho_x_protein,cho_x_hour_of_day,glucose_trend_x_hour_of_day,mage_x_baseline_glucose
0.87480503,-0.058153637,0.5170411,-0.16623127,0.9922366,1.0463654,-0.54745114,-5.1051774,1.4168894,2.6676993,-0.29655594,-0.2926851,-4.394847,0.42642474,-2.5742323,0.0,1.5262648,6.750586,1.1447079,3.5190735,1.2055454,-2.4812832,-0.04534723,0.18216234,0.94355553,1.2333866,3.05634,0.07453737,-3.6102772,1.059067,0.09280356,-0.049537912,2.6011403,0.34137675,0.49634445,0.6515522,0.6863261,-0.613091,3.129552,-0.5796436,-1.3623403,0.51479787,-2.6444407,-2.488205,-1.2306739,-5.7458925,-0.43035623,20.219397,-11.19398,-1.2189958,-1.925136,1.065205,-3.0375788,5.28221,0.52810127,0.30138406,-0.2477147,0.64726144,-0.42998007,0.36273858,0.6520319,2.6192894,0.01735411,8.382088,-4.9447956,7.512144,24.547234,-0.8887222,-1.3082447,-0.26995832,-0.0765619,2.3237782,-2.000981,1.5551726,-4.7704024,2.0668576
-0.55674785,-0.12572321,0.17418537,-0.01827011,0.3626772,-1.1958326,3.974193,3.1395013,-0.788605,2.3809197,-0.33154765,0.280432,-2.7866745,-0.05890941,-0.37513003,0.0,-0.8727474,-0.8833773,0.62617075,-3.2090027,2.2880275,5.130498,1.3721638,-0.68812287,0.38708416,1.4777108,-1.1782213,0.13471428,-4.0326185,5.6694226,-0.38344005,-0.103500135,0.6913669,0.46995264,0.81867826,-0.18459202,-0.016368855,0.60746664,-0.6814456,-3.8829908,1.6522106,-1.1733251,-3.1401718,-0.41469476,12.709797,2.6081817,0.8420745,-6.382309,-8.318229,-0.44808075,-2.0683334,-0.07011684,-2.393329,3.550906,0.9928036,0.5796564,-0.47185272,0.62773955,-0.7102223,0.9397462,-11.634386,1.5448812,-0.58156997,11.882904,-1.4137676,5.011479,27.103977,1.5629472,-1.2100557,-0.63797593,0.4799662,-0.82805574,-2.088889,-0.916381,3.6733923,3.5416386
-0.11043338,-0.8411614,0.94595337,-0.088902555,0.5331042,-0.9947667,5.241082,0.3063849,-0.80011183,-0.71052986,-0.44138977,0.51161623,2.917441,-0.0628934,0.07506278,0.0,0.6657413,-0.2937901,2.632326,2.1018798,-0.5793595,-1.1128836,1.4582644,-0.795877,-0.8451134,3.7252536,1.1214668,-0.9046105,2.229161,-3.816172,0.73952276,-0.056950543,-0.15973015,-0.073253855,-0.80244684,1.7221384,0.0211238,1.6901172,4.522932,6.7400665,-0.38562757,0.23946837,5.364291,0.39790252,6.0268583,-4.391877,-1.6391462,-5.5246205,9.296895,1.8878477,5.266854,0.56812376,-0.63200086,3.1216955,-3.3918748,-2.247063,-1.6426771,0.62080336,-0.5554546,1.129327,1.1510384,1.5066993,0.12338566,8.166666,1.284052,-1.1762464,0.17689562,-0.11648723,4.834633,-1.4543538,0.058664493,-0.3751035,0.38550496,3.5493126,0.510252,2.7954316
-0.4407985,0.3895465,0.13612595,0.009202411,0.401604,-1.0993687,3.3326147,-1.1129925,-1.7348534,-1.1615628,-0.33614862,-0.83055246,5.0179033,-0.13998413,1.0599426,0.0,-1.7383255,-0.8629526,0.4485136,-1.1292253,-0.3267717,-1.4244211,0.5393199,0.08259206,0.53325504,-0.4233282,1.4604838,-4.2217526,2.3001757,-0.4349069,-0.15060173,-0.18118766,0.47831237,-0.042546123,-1.1569477,-0.6650819,-0.06838,-1.7640073,0.5693787,-1.726158,1.6394305,-0.45207778,-2.751455,0.2805657,-6.292333,-6.725528,-0.106144466,-6.7263346,-0.5996935,-0.6021532,-2.435143,-4.8063936,0.10757431,0.040583443,-0.8990322,0.7255486,-0.8296367,-2.2257974,1.3108705,-1.198402,-1.315505,-0.042381614,0.17230067,6.5244417,0.4183652,-1.1566179,0.098282315,1.1652092,-1.0959857,-3.0778189,0.03765482,0.023514904,0.3609107,-0.53364265,-3.9684174,-0.89209384
-0.30445454,0.050681874,-0.20181718,-0.016118903,0.20800087,-0.655936,-1.5252092,0.38946834,-0.64971983,-0.7201026,-0.30850795,-1.9674731,-2.5868833,0.33787635,-0.65799266,0.0,0.6388893,3.008806,-0.32880485,0.9468269,-0.61598045,-2.401642,0.45951778,-0.0395272,0.87773114,1.7377713,-1.2226057,-0.275356,-2.06944,-0.3254046,-0.18080299,-0.09915868,0.4845088,-0.08994595,-0.2788426,1.4690517,0.065787755,0.052020583,-2.7013147,-5.616347,-0.3667128,0.09988879,-3.5664704,0.25116736,-1.7308486,-1.688875,-0.0061963256,-6.642507,2.5702648,1.9614046,-4.3391714,4.3423886,10.255123,-1.9058428,-2.4471,0.80610543,-0.4474949,0.7761097,-0.9687316,-0.15847689,-1.8278805,3.1478834,-0.00015868503,7.2632847,0.6208949,-0.96231896,1.340161,-0.55654734,-1.1130978,-0.23596026,0.026038624,-1.4038042,-0.048931018,0.50346726,1.9133201,2.3170707
0.49418965,-1.1573535,0.28598252,-0.8411479,0.3020687,-0.7551149,-1.2014142,-0.4578761,0.2820652,-0.8279911,-0.21539916,0.4813941,-1.9792923,-0.039478384,-0.9351349,0.0,0.045814242,4.8711386,-0.19734098,-3.1934924,-0.80010843,-1.759171,0.38801283,-0.60085803,-2.2414386,-3.4701023,-3.3585513,-0.117230944,0.37317175,0.93778855,-0.1298441,-0.3773837,-0.100059174,-0.0042130845,-0.10320824,-1.0507065,0.06518753,0.63615215,-2.1649454,-1.5655675,2.764272,-1.5684284,-3.8304605,0.14932019,-41.58237,-6.3372054,2.5134313,-6.315612,-2.5866244,1.1032417,-2.29594,1.4624335,-0.69469416,-2.0498047,5.7621245,1.1371474,-0.3847403,0.64558804,-0.23291019,0.26182687,2.3394825,6.9060845,0.107804984,6.4317183,2.134722,-1.205307,2.859143,-2.2377353,-1.5899734,-0.77995855,0.5087109,1.6427498,-3.8140786,-3.7767982,-6.8704715,-0.28724524
-3.6671896,-0.026746016,0.19347063,-0.32476714,0.049267996,-0.6988609,-1.8658664,-0.28711507,-0.8402067,1.006578,-0.19069338,0.3475707,3.4724934,-0.045651555,0.46667317,0.0,-0.6313296,-0.6854433,-0.07201512,-0.3014941,-0.45576653,-0.7122859,1.1847823,-0.40517312,-1.070554,-0.6981795,-0.37766236,-0.5055889,-0.98725015,-1.3186059,-0.41957825,3.2856016,-0.41231182,-0.23302019,-1.3774134,-3.7567377,-1.2695327,1.262519,-0.3625816,3.9443102,0.39473245,0.34679753,3.4853976,0.6101513,-23.756792,2.9841247,-0.15983965,3.7266257,0.6002882,0.91875875,-2.5980299,2.3913453,-3.1939065,-0.19730212,-0.7203892,-0.12975243,5.0730033,-2.4779863,-3.8453937,-1.3988076,1.312739,-6.6259694,0.25028658,10.867886,0.7706562,-2.3939307,-0.0060397666,2.7337782,-5.8752966,-0.89038223,0.41057053,-2.852959,-0.33876538,-0.5894023,1.2921832,0.9601395
0.1081923,0.6071142,0.6701879,-0.27652436,0.28146443,-0.14086227,-1.2228485,-0.29087615,-1.0611165,-1.3948977,-0.23609197,-0.048456483,2.5168316,0.22761348,-0.1412566,0.0,-1.4108094,-1.3568342,0.596929,-1.4137133,-0.46660325,-1.210548,0.5476267,-0.3499153,-0.89204484,0.31311733,-0.21151388,5.122813,-1.6007935,0.16549033,0.183585,-0.46853438,-0.09432278,-0.258267,-0.5940738,1.4205068,0.09083025,-0.039834887,1.5443239,3.682748,0.8597087,0.19449359,1.5516992,0.8104287,-43.379803,-7.962829,1.2735639,-4.054681,2.5519211,0.97234195,-2.5055692,2.1155798,0.09397967,1.5775319,5.588765,0.32874388,-0.7501723,0.5665039,-0.413586,0.40227526,-0.22966261,-2.1299436,0.1358421,9.018132,1.3604267,-0.51393586,1.0851209,-0.23510188,-4.106748,-0.62784016,0.030865144,3.9065497,0.48581296,-1.9543116,-7.1479225,-0.9933485
-0.29967088,2.886211,0.19201297,-0.23462072,0.4574297,-0.7081365,-1.9494013,1.1332955,0.3104924,-0.9131838,-0.10557838,-1.9162858,-3.9817667,-0.07977297,1.1506579,0.0,-0.76551515,-0.08535333,-0.19829807,-0.9989538,-1.4382894,-2.0269835,0.8690442,-1.1135309,-2.0395954,-1.8834852,-1.103959,-0.79419756,-2.9658246,-0.7837537,-0.679072,-0.22733088,0.38943446,0.29691884,-0.5859027,-1.404561,-0.04709475,1.7404767,0.04932724,-3.9394605,-1.4227058,-0.50238454,-2.7539783,0.43349484,-12.19841,-9.764159,3.9602976,13.874029,4.751518,2.4563627,-0.91787976,5.4260015,13.941426,-1.9860646,7.799866,4.4798236,-0.08764595,-1.9035168,1.8978282,-0.5368245,2.7340703,-6.8788214,0.45600736,5.418422,0.32030955,-0.4091656,2.4412112,-0.18815503,-1.5230913,-0.053178184,-0.23943572,-0.37201166,-0.6873782,-1.8813663,-2.5265725,1.3979595
-0.35945144,-0.4272575,0.7313965,-0.47363275,-1.3175131,-0.76478636,-2.1026702,-4.719271,-1.3397558,1.9113963,0.16854194,0.3505765,1.2252853,0.14946744,-0.20761186,0.0,-2.9830868,-1.3041273,-0.06663106,-1.654558,4.2917757,-0.42765373,-0.49451983,0.01653594,0.26612946,-1.4144288,0.3238924,3.997137,-0.47103783,-2.1181393,-0.6130262,-0.078343615,-0.043727085,0.43356478,-0.98492545,-2.009517,2.3216283,0.027436405,2.1116097,2.7886777,-0.8738409,-0.41852674,2.592708,0.68696415,9.576572,-6.642816,1.7530988,-1.1856726,3.988697,-0.5645226,-5.2507014,3.0402176,11.435915,-1.8329774,-1.1316507,-7.229466,-1.8184059,-0.0319606,-1.0746411,0.65890545,-5.7123604,0.64963615,0.013210703,6.932996,0.51413524,-1.8624322,-0.47926858,0.35121718,-1.1760666,-3.425134,-0.727289,-1.0599544,0.41068405,-1.0927492,2.6229887,1.5027587
