fold,label,MAE,RMSE,R2,n_test,n_test_participants,best_iteration
1,baseline,55.48729846238251,72.79969291870198,0.10075460451654372,443,14,38
2,baseline,49.04131722664001,63.183367349091625,0.1797476253374487,441,14,73
3,baseline,52.051229214891805,70.81774893201366,0.14220625513745644,442,13,104
4,baseline,50.89207590924553,70.26247713325796,0.0956199666592259,445,13,30
5,baseline,48.54833597178416,64.85288999870171,0.12912511527986292,444,14,34
