feature,group,mean_abs_shap,mean_shap,shap_std
baseline_glucose_mmol,G,19.641273195238956,-0.43403965799209665,25.216355801739734
mean_glucose_24h,G,15.06197954809298,1.1355365497340775,20.61283897293676
past_1h_glucose_sd,G,6.952269236295211,0.12429752178047423,8.460283272988722
mage_x_baseline_glucose,I,4.965543142836727,-0.8187253484192467,7.200216152403624
mage_24h,G,4.5659916104840255,0.45019611633060896,6.754436095475584
glucose_trend_x_hour_of_day,I,4.299142049810646,-0.1799274995608089,6.297667782387847
conga2_24h,G,4.127157219110646,0.2915608497512785,5.421580903530419
past_3h_cho,Dt,3.9854727791817752,0.10309568872152484,4.891681043731107
PROT,Dc,3.321925644382427,-0.07517156884119013,3.749180027924358
past_4h_glucose_trend,G,3.181861886501395,-0.08260175329590885,4.88275319740738
POLYFACc,Dc,3.093189959706834,0.24777571899609482,3.7315321554384377
SATFAC,Dc,3.0553757888719204,-0.37453575527219896,3.5715720081276734
sd_glucose_24h,G,2.994448133440865,0.13015192191283126,4.147718315120123
hour_of_day,Dt,2.8833700728937237,-0.027880819826313328,3.53496308578873
ZN,Dc,2.8191894613923987,-0.20491320653800557,3.846818665800496
glycaemic_brake,Dc,2.7110051017288703,0.06075191612980011,3.3427001142572736
FE,Dc,2.65995117008106,0.09033896915278476,4.039101469933472
TOTn3PFAC,Dc,2.603974940934449,-0.2580881216410972,3.019945213580104
fat_sugar_ratio,Dc,2.55177727451232,0.06693747523663414,3.3721601701097863
cho_x_mage,I,2.477610961960543,0.1949011749517099,4.418538128975274
intrinsic_sugar,Dc,2.462206063305514,0.10272222652544864,3.1673054742703983
time_since_last_meal_min,Dt,2.41598929842371,0.14819133098958626,3.4778858920076785
LACT,Dc,2.3043497036517904,0.03028583607019991,2.6266205445050774
modd_24h,G,2.29783795824384,-0.01800969207089725,2.855941736889298
past_1h_glucose_mean,G,2.233458927265012,-0.24192869947938633,2.7255279509742536
FRUCT,Dc,2.146215211923524,0.3284579483912134,2.634152924910739
WATER,Dc,2.139939490425551,0.14423644556874013,3.0238468073756115
conga1_24h,G,2.078035869437657,-0.4382546245403998,2.8193393339710875
cho_x_hour_of_day,I,2.0605746317826403,0.11151767435818638,2.5393989030828585
cho_x_fat,I,1.9385685917011155,0.045231102370292896,2.390085123050599
FACTRANS,Dc,1.8815916778701065,-0.05327288641320318,2.287694379656153
KCALS,Dc,1.8726449620130636,-0.0642850471482566,2.2343444150993514
sugar_fraction,Dc,1.8690361148268717,0.04441598724425848,2.6046962998961476
cho_x_time_since_last_meal,I,1.8427571386644352,0.0019944622088330878,2.701481523161663
sex,P,1.826427513958717,0.05052200359423526,1.943556848271098
glucose_at_t_minus_15,G,1.8034841845296607,0.09511533808028826,2.8613354502398862
glucose_at_t_minus_30,G,1.7904114018132962,0.024065441268247275,3.5948851427818327
SUCR,Dc,1.7772017932360717,-0.02697378248614131,2.3842985776498
SE,Dc,1.667153400870665,0.11861174329186427,2.0204292633419634
MG,Dc,1.4783406185100127,0.4726493128513078,1.9446294959007386
VITD,Dc,1.4490319174037378,0.10792339139555555,1.720175306477549
MN,Dc,1.4331097360141796,-0.17888394757726636,1.81765242834083
past_3h_fat,Dt,1.4279492365945197,-0.23913182382110088,2.9449919315035307
past_3h_prot,Dt,1.3808280522351464,0.08864191955248721,2.2773085055085143
n6_n3_ratio,Dc,1.3721265383164576,-0.05492837054946535,2.0113472506008043
GLUC,Dc,1.3597889909576477,-0.16773684326755,1.711941925547924
OLIGO,Dc,1.3361473140112972,-0.0708814241907485,1.6531653404204794
MALT,Dc,1.2706941273797305,0.29535024216066946,1.7914029584648261
FAT,Dc,1.2677348096755927,-0.09368285432078102,1.5088796687860935
STAR,Dc,1.260256331313417,-0.3697374036458577,1.5848568948108643
protein_cho_ratio,Dc,1.2551263136275685,-0.31331963519642025,1.665551297612806
cho_x_baseline_glucose,I,1.2519060492235006,-0.01676033352238494,1.5756484860889326
TOTSUG,Dc,1.2476309240067178,0.012041577063714545,1.6336489437794175
cho_x_fibre,I,1.2150016138132356,-0.0382355144225337,1.4428510315772214
rapid_glucose_equiv,Dc,1.187619959210939,0.006350041060934442,1.4890416776763091
cho_x_protein,I,1.0687018912553696,-0.030922387874802424,1.4657144835993343
past_3h_sugar,Dt,1.0626108929415434,0.011464124751864235,1.7074731635398037
CHO,Dc,0.9151588675671779,-0.11401520614895397,1.3545840781373062
free_sugar_fraction,Dc,0.8796539639504881,-0.02838037998860994,1.245024208133112
FREE_SUGAR,Dc,0.8751779224775453,0.17651952651139008,1.3210332014085886
AOACFIB,Dc,0.8578874073309485,0.1345649438644026,1.148213512661119
CAFF,Dc,0.8405132296386333,-0.018898567692096694,1.3556690625694159
TOTn6PFAC,Dc,0.8296779698720361,-0.06104253229323571,1.2438932636113715
starch_fraction,Dc,0.8101454563875592,0.024901261514514175,0.9912278454923856
protein_sugar_ratio,Dc,0.7955405476508011,-0.029151760172920968,1.0690681734804124
MONOFACc,Dc,0.6949361091215249,-0.050427845384565316,1.2734965431378558
totalFruit,Dc,0.6589555813053,-0.011179850251464429,1.1836692696753037
totalVeg,Dc,0.6524675354072292,-0.036603729930939105,0.9097664729836914
GALACT,Dc,0.4876719284019108,0.02700123228874477,1.24223179107489
ADDED_SUGAR,Dc,0.38483290928867037,0.02828144763190608,0.635107951208279
ENGFIB,Dc,0.38182125001956296,0.09303271989315669,0.5038583210277033
ALCO,Dc,0.15051766141562065,-0.004129358342631336,0.39069163389472883
