fold,label,MAE,RMSE,R2,n_test,n_test_participants,best_iteration
1,tuned,55.05662018863859,71.72052133498144,0.12721755266555934,443,14,223
2,tuned,48.50130768132286,62.06541240017626,0.20851761904194865,441,14,310
3,tuned,50.6191699535249,69.80537956652014,0.1665559985869336,442,13,265
4,tuned,50.16515446706022,69.28405497574771,0.12063202189602507,445,13,236
5,tuned,48.43819982222823,64.6160160356335,0.1354752056002272,444,14,225
