feature,group,mean_abs_shap,mean_shap,shap_std
baseline_glucose_mmol,G,14.300603089403612,-0.5883221956049666,18.067671687049057
mean_glucose_24h,G,9.051999206634763,0.5408246804523701,11.835748638159647
n_total_meals,P,5.147711993663882,0.03946753182550776,5.906138258926877
past_4h_glucose_trend,G,4.9594938160520865,-0.06406758089509255,7.037317825746951
past_1h_glucose_range,G,4.934983821732136,0.23414513584411742,7.1539281172659495
mage_24h,G,4.5455537438401805,-0.03742358084153501,5.635465470728545
conga2_24h,G,4.542897308113771,-0.5435679914374717,5.625774246216658
past_1h_glucose_sd,G,3.5686003535849204,-0.050271811015078965,5.3049678640506555
glucose_trend_x_hour_of_day,I,2.778528078875575,0.20704156857182843,3.574039199223471
glycaemic_brake,Dc,2.6935061725155753,-0.4181158727358917,3.080110413313073
mean_daily_kcal,P,2.4335332495595035,-0.06923753100790069,3.6093227071154135
protein_cho_ratio,Dc,2.3929095734629797,0.11195560907571107,3.008729705002314
cho_x_hour_of_day,I,2.3512482742868173,-0.019386786992550788,2.833609137477437
mage_x_baseline_glucose,I,2.143368636829165,0.09861413251088037,2.8685513173905
cho_x_mage,I,1.9359678628159822,-0.004372034899774281,3.195942718319834
conga1_24h,G,1.8917245976037023,0.09427769294835217,2.4961308625676155
POLYFACc,Dc,1.8908689781599095,0.05919563992117383,2.507610208934437
time_since_last_sig_meal_min,Dt,1.7893726184395033,-0.3002104783371106,2.4792564877862073
PROT,Dc,1.680930508434763,-0.05726484264424382,2.0789141753070366
MG,Dc,1.636545185842578,0.13020853227499324,2.1946256086152935
MALT,Dc,1.5956145210699955,0.1089375603720632,2.2248938347802443
mean_daily_cho,P,1.5908676249050457,-0.0996465325412533,2.7460867822559027
past_1h_glucose_mean,G,1.5862512867094807,0.03509654308492098,2.1006886972879437
intrinsic_sugar,Dc,1.577397871946253,-0.10158550415212189,2.162098157196249
FE,Dc,1.5412259019553498,-0.019829843575756217,1.9585484388343637
hour_of_day,Dt,1.50383490890921,-0.0718694185536343,2.0255970893256756
time_since_last_meal_min,Dt,1.497392889101535,-0.06961110422225733,2.230161265859105
modd_24h,G,1.479619820438447,0.006549589824306999,2.00726248363448
cv_x_hour_of_day,I,1.4187915699091422,0.10341631241659142,1.969317793231643
sugar_fraction,Dc,1.406471356704334,-0.28214789444094807,2.0954861723169054
SATFAC,Dc,1.3979130570158464,-0.08638753888790068,1.8897654934318724
MN,Dc,1.3622006905912416,0.20241470941318285,1.9405906094373064
sd_glucose_24h,G,1.2989425776199548,0.05549752828613994,1.8337655264105872
glucose_at_t_minus_30,G,1.2585218566600633,-0.1080338101372641,1.7334222495085725
cv_glucose_24h,G,1.216007865912587,0.11130046669985552,1.728862397311979
FRUCT,Dc,1.206928516095079,0.0397849255090745,1.5709088965078313
SE,Dc,1.2011609816241082,0.192585596896614,1.636703193156714
cho_x_fat,I,1.1812241309786817,-0.08988391803060045,1.4580347174936341
cho_x_time_since_last_meal,I,1.1779741051556207,0.1563325611124605,1.8313197977875832
cho_x_baseline_glucose,I,1.1716930319415273,-0.07782803914443204,1.5319125720724593
FACTRANS,Dc,1.1683786318511646,-0.12840322624788714,1.5235306245612992
WATER,Dc,1.1569162943248352,0.05660677363508353,1.7515597531527327
glucose_at_t_minus_15,G,1.0882457054511647,0.260495488716781,1.44685119834693
rapid_glucose_equiv,Dc,1.0757723495435938,0.03396121446205869,1.5991530069769029
SUCR,Dc,1.0675196528358781,0.060899406148049666,1.422238130253122
ZN,Dc,1.0356002859512685,0.06085109431455531,1.4034049329051685
GLUC,Dc,1.0217924391472686,-0.059111957307358916,1.5745902804013825
past_3h_cho,Dt,1.0195531574588714,-0.13186899492839732,1.4639873202741351
TOTn3PFAC,Dc,1.0016430426455756,-0.08957840855013544,1.3028416638607812
AOACFIB,Dc,1.0011954541149437,0.04904592385968397,1.3938149256808325
fat_cho_ratio,Dc,0.9924096224248443,-0.020877539365521464,1.2855743015602912
fibre_cho_ratio,Dc,0.9572291550346276,0.06172239869711061,1.2670055867675598
n_days_tracked,P,0.9410108030608668,-0.044598009323801334,1.4224431544575333
STAR,Dc,0.8895752987321015,0.009360890089031609,1.2631591743476227
LACT,Dc,0.8867619395920091,-0.028793498762753954,1.1811511184540844
past_3h_fat,Dt,0.8656850650839729,-0.03876201186600451,1.0818820603840154
MONOFACc,Dc,0.8006998557085779,0.07722851531706545,1.1657596073055272
starch_fraction,Dc,0.7882896191947106,0.1143293440947973,1.0647393411729977
fat_sugar_ratio,Dc,0.7130633643871873,-0.012724697585841974,1.1384304552018154
TOTSUG,Dc,0.710095286827377,0.13041279738575168,1.006617023073965
ADDED_SUGAR,Dc,0.7033320367550853,-0.0030248868822726955,1.3707324759737405
n6_n3_ratio,Dc,0.7029766987442708,0.049667686345390524,1.141186312229715
CAFF,Dc,0.6735579273062303,0.034346532252054175,1.5597098102875013
OLIGO,Dc,0.6656365966391873,0.0013832218344920994,1.1420705675219374
TOTn6PFAC,Dc,0.649992609760027,0.06567043023780586,1.3249954941447941
cho_x_protein,I,0.6431610455540632,0.018740647029458234,0.9536075575907699
KCALS,Dc,0.6135544014365778,0.10570920503525057,0.9104947655578715
GALACT,Dc,0.6123479054886456,0.024940445093990984,1.9446830397834656
FAT,Dc,0.608458399564465,-0.12902369939377428,0.8915124478213247
past_3h_prot,Dt,0.6009387612235305,0.05404196116267268,0.9801568797377329
protein_sugar_ratio,Dc,0.5826385634022347,0.1374254198158691,0.7850542536748003
ENGFIB,Dc,0.572406372228651,0.04387712180468533,0.8050694289675061
cho_x_fibre,I,0.5393650857288551,-0.028215636687135892,0.8492043997454496
totalFruit,Dc,0.5380274248939143,0.000907648690293455,0.9941795093745894
free_sugar_fraction,Dc,0.503995588804325,0.04610190036425282,0.7974332320862249
VITD,Dc,0.4755958284344846,0.0037139611881189167,0.704053563628643
past_3h_sugar,Dt,0.43226120908530025,0.1173838541901851,0.7143010029300276
FREE_SUGAR,Dc,0.41640772300700674,0.07652081349394131,0.8271965682012709
totalVeg,Dc,0.3992915371633801,0.06816268458679323,0.6097975903488521
CHO,Dc,0.3959697404271783,-0.048838860548469525,0.5271327169928118
past_3h_kcal,Dt,0.3956175884500655,0.05135905725393905,0.6895219352285631
KJ,Dc,0.3253846462176614,0.009074650389769751,0.4488559264530801
is_dinner,Dt,0.31538021507408576,0.02340607047887133,0.47422278670256623
sex,P,0.2224657892693363,0.06954645141339051,0.3014784023334639
is_lunch,Dt,0.17952195230679774,0.029560190333912866,0.31150433781553866
is_breakfast,Dt,0.1319150468494537,-0.004484068998257336,0.21324179206364705
is_snack,Dt,0.12281410850842438,0.0416678022549526,0.23333605994709075
ALCO,Dc,0.04475497823670248,-0.004846102000449662,0.10068161980181566
